id	surface	status	kind	name	obligation	verification	upstream	reference	finding	class
host-01	host	VERIFIED	behavior	-	Every command handler that calls pi.sendUserMessage passes deliverAs so a mid-stream send cannot throw and drop the message.	test@tests/layers/01-unit/host-adherence.test.ts@host-01 sendUserMessage call sites in extensions pass deliverAs	mechanism:extension-api	extensions/commands/skill-commands.ts:159	-	ADAPTED-EQUIVALENT
host-02	host	VERIFIED	behavior	-	Arming readonly strips only the write-blocked tools and preserves every other active tool, and disarming restores the pre-arm snapshot unioned with the tools active at restore time.	test@tests/layers/01-unit/host-adherence.test.ts@host-02 computeReadonlyTools preserves an unrelated tool	mechanism:extension-api	extensions/readonly-state/index.ts:28	-	ADAPTED-EQUIVALENT
host-03	host	VERIFIED	behavior	-	Every closed single-choice tool parameter is a JSON-schema enum built with StringEnum instead of Type.Union of Type.Literal.	test@tests/layers/01-unit/host-adherence.test.ts@host-03 closed choice parameters are JSON-schema enums	mechanism:extension-api	extensions/benny/index.ts:21	-	ADAPTED-EQUIVALENT
host-04	host	VERIFIED	behavior	-	Every promptGuidelines bullet names the tool whose definition carries it, because the bullets are appended flat with no prefix.	test@tests/layers/01-unit/host-adherence.test.ts@host-04 every promptGuidelines bullet names its registered tool	mechanism:extension-api	extensions/orchestration/swarm.ts:170	-	ADAPTED-EQUIVALENT
host-05	host	VERIFIED	behavior	-	Tool output truncates at the default byte and line limits, tells the model the output was truncated, and names the file holding the full text.	test@tests/layers/01-unit/host-adherence.test.ts@host-05 capToolOutput truncates and names the full-output path	mechanism:extension-api	extensions/lib/tool-output.ts:1	-	ADAPTED-EQUIVALENT
host-06	host	VERIFIED	behavior	-	A tool that accepts a path drops a leading at-sign before the value reaches any path resolver.	test@tests/layers/01-unit/host-adherence.test.ts@host-06 stripAtPrefix normalizes a leading at-sign	mechanism:extension-api	extensions/lib/paths.ts:1	-	ADAPTED-EQUIVALENT
host-07	host	VERIFIED	behavior	-	A file-mutating tool wraps its whole read-modify-write window in withFileMutationQueue keyed to the resolved absolute path.	test@tests/layers/01-unit/host-adherence.test.ts@host-07 file-mutating tools await withFileMutationQueue	mechanism:extension-api	extensions/decision-log/index.ts:65	-	ADAPTED-EQUIVALENT
host-08	host	VERIFIED	behavior	-	A tool failure throws an Error instead of returning a value, so the host marks the result as an error.	test@tests/layers/01-unit/host-adherence.test.ts@host-08 benny and control_ui error paths throw	mechanism:extension-api	extensions/benny/index.ts:56	-	ADAPTED-EQUIVALENT
host-09	host	VERIFIED	behavior	-	Project-local extension configuration is read only when ctx.isProjectTrusted() is true, and an untrusted cwd falls back to the global config alone.	test@tests/layers/01-unit/host-adherence.test.ts@host-09 projectConfigCwd gates project config on trust	mechanism:extension-api	extensions/models/config.ts:68	-	ADAPTED-EQUIVALENT
host-10	host	VERIFIED	behavior	-	Project-local config paths are built from CONFIG_DIR_NAME instead of the literal .pi directory name.	test@tests/layers/01-unit/host-adherence.test.ts@host-10 project config modules use CONFIG_DIR_NAME	mechanism:extension-api	extensions/models/config.ts:60	-	ADAPTED-EQUIVALENT
host-11	host	VERIFIED	behavior	-	Shutdown cleanup reads ctx.cwd rather than process.cwd() so it acts on the session directory the host reports.	test@tests/layers/01-unit/host-adherence.test.ts@host-11 worktree shutdown cleanup reads ctx.cwd	mechanism:extension-api	extensions/worktree/index.ts:116	-	ADAPTED-EQUIVALENT
host-12	host	VERIFIED	behavior	-	Session-scoped jobs are aborted and cleared, and every non-terminal run armed in the process is blocked, at session_shutdown.	test@tests/layers/01-unit/host-adherence.test.ts@host-12 session_shutdown clears jobs and blocks armed runs	mechanism:extension-api	extensions/subagents/index.ts:500	-	ADAPTED-EQUIVALENT
