file	sentence-prefix	reason	decision-ref
skills/architect/SKILL.md	Loading this skill authorizes the Task calls it prescribes.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/architect/SKILL.md	Spawn one runner per entry in that list, so a three-entry list is three runners.	Pi-specific workflow clarification is carried from the logged pstack migration	pi-runtime.md:5-7; round3-decisions.tsv#MIGRATION
skills/architect/SKILL.md	The list length is the floor, not a suggestion.	Pi agent and model-panel roles map to local pstack roles; runner-count floor is the logged clarification.	pi-runtime.md:21-36; round3-decisions.tsv#Q15
skills/architect/SKILL.md	Pass that list to arena as its runners.	Pi agent and model-panel roles map to local pstack roles; runner-count floor is the logged clarification.	pi-runtime.md:21-36; round3-decisions.tsv#Q15
skills/architect/SKILL.md	For an `inherit-parent` or `auto` entry, omit `model` so Task uses the parent model.	Pi model roles use the AGENTS.md pstack block and upstream model defaults map to Pi model ids; Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:58-66; pi-runtime.md:81-85; fixes-round2.tsv#U3; round3-decisions.tsv#Q15; pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	Loading this skill authorizes the Task calls it prescribes.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	One arena settles one decision.	Local subagent roles, model ids, lane isolation, user-count priority, and one-arena-per-decision are logged mappings.	pi-runtime.md:21-33; pi-runtime.md:59-65; round3-decisions.tsv#F5; fixes-round2.tsv#U11
skills/arena/SKILL.md	Settle follow-up forks while grafting rather than opening a nested arena.	Local subagent roles, model ids, lane isolation, user-count priority, and one-arena-per-decision are logged mappings.	pi-runtime.md:21-33; pi-runtime.md:59-65; round3-decisions.tsv#F5; fixes-round2.tsv#U11
skills/arena/SKILL.md	Claude and Grok use the Anthropic defaults; GPT uses the OpenAI Codex default.	Pi model roles use the AGENTS.md pstack block and upstream model defaults map to Pi model ids	pi-runtime.md:58-66; pi-runtime.md:81-85; fixes-round2.tsv#U3; round3-decisions.tsv#Q15
skills/arena/SKILL.md	Spawn at least one candidate per configured entry, so a three-entry list is three candidates.	Pi-specific workflow clarification is carried from the logged pstack migration	pi-runtime.md:5-7; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	When the user names a count or names the alternatives ("two alternatives", "try A and B"), that wins: run that many candidates and give each one its own directi	Local subagent roles, model ids, lane isolation, user-count priority, and one-arena-per-decision are logged mappings.	pi-runtime.md:21-33; pi-runtime.md:59-65; round3-decisions.tsv#F5; fixes-round2.tsv#U11
skills/arena/SKILL.md	Assign distinct directions the same way whenever two entries share a model, as every `inherit-parent` entry does, so one round yields structurally distinct cand	Local subagent roles, model ids, lane isolation, user-count priority, and one-arena-per-decision are logged mappings.	pi-runtime.md:21-33; pi-runtime.md:59-65; round3-decisions.tsv#F5; fixes-round2.tsv#U11
skills/arena/SKILL.md	`<slug>` is the task slug plus a short unique suffix (for example the first 8 characters of the run id or `$(date +%s)`), so two arenas never share a directory.	Local subagent roles, model ids, lane isolation, user-count priority, and one-arena-per-decision are logged mappings.	pi-runtime.md:21-33; pi-runtime.md:59-65; round3-decisions.tsv#F5; fixes-round2.tsv#U11
skills/arena/SKILL.md	Each candidate writes to its own location: a managed worktree for code or `/tmp/arena-<slug>/candidate-<n>/` for the artifact and rationale.	pstack-agents maps isolated cloud work to managed local worktrees	pi-runtime.md:17-19; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	On Pi, `environment: "cloud"` creates the worktree from a named `cloud_base_branch`.	pstack-agents maps isolated cloud work to managed local worktrees	pi-runtime.md:17-19; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	Report each worktree path and branch, per the **separate-before-serializing-shared-state** principle skill.	pstack-agents maps isolated cloud work to managed local worktrees	pi-runtime.md:17-19; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	Spawn all N subagents in one message with `run_in_background: true`.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	Give each Task the task, shared-grounding path, output path, and instructions to produce the artifact and a short rationale.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	Set `subagent_type: "poteto-agent"` when poteto-mode is active, and `subagent_type: "generalPurpose"` otherwise.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	Give each Task a distinct description and `output` path under `/tmp/arena-<slug>/candidate-<n>/`.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	For code candidates, set `environment: "cloud"` and a named `cloud_base_branch`.	pstack-agents maps isolated cloud work to managed local worktrees	pi-runtime.md:17-19; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	Fetch the branch first.	pstack-agents maps isolated cloud work to managed local worktrees	pi-runtime.md:17-19; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	Commit or stash changes in the source checkout before launching cloud tasks.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/arena/SKILL.md	If the configured value is `inherit-parent` or `auto`, omit `model`.	Pi model roles use the AGENTS.md pstack block and upstream model defaults map to Pi model ids	pi-runtime.md:58-66; pi-runtime.md:81-85; fixes-round2.tsv#U3; round3-decisions.tsv#Q15
skills/automate-me/SKILL.md	Loading this skill authorizes the Task calls it prescribes.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/automate-me/SKILL.md	If one exists, confirm intent with one `questionnaire` question (Pi's `AskQuestion`; lettered options in chat when it reports no UI) unless they already said "u	Questionnaire, workspace transcript, and default-agent mappings replace Cursor AskQuestion and agent-transcripts.	pi-runtime.md:21-26; pi-runtime.md:93-98; decisions.tsv#8; round3-decisions.tsv#Q15
skills/automate-me/SKILL.md	They are the `*.jsonl` files in the directory holding `$PI_SESSION_FILE` (`~/.pi/agent/sessions/--<cwd with / as ->--/`).	Questionnaire, workspace transcript, and default-agent mappings replace Cursor AskQuestion and agent-transcripts.	pi-runtime.md:21-26; pi-runtime.md:93-98; decisions.tsv#8; round3-decisions.tsv#Q15
skills/automate-me/SKILL.md	Run one Task per history slice with `subagent_type: "generalPurpose"`, all in one message (e.g. the last 2-4 weeks, split into 3 slices so each has enough material).	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
