ts	phase	decision	why	evidence	result
2026-09-25T04:33:42Z	setup	archived commit 6db1587, installed dependencies, isolated AGENT, and created scratch git project	the brief requires a clean package and isolated Pi state	paths.env, setup-npm.log, setup-install.log	setup complete
2026-09-25T04:33:42Z	case-a	captured startup and searched the slash menu for required pstack skills and commands	the case is judged by the real TUI	a-startup/initial.txt, a-startup/menu-poteto.txt, a-startup/menu-how.txt, a-startup/menu-goal.txt, a-startup/menu-poteto.txt, a-startup/menu-todos.txt	menu entries present; startup displayed a raw skill and extension inventory
2026-09-25T04:33:42Z	case-b	activated poteto-mode, asked the scratch calculation, and turned the mode off	verify the footer and follow-up reminder through actual interaction and session data	b-poteto/04-answer.txt, b-poteto/main-session-after-question.jsonl, b-poteto/05-poteto-off.txt	answer 67; reminder recorded; footer cleared
2026-09-25T04:36:46Z	case-c	ran one foreground and one background generalPurpose Task at the requested low model and awaited the background id	the case checks actual delegation, outputs, and completion notices	c-tasks/02-result.txt, c-tasks/tool-calls.tsv, c-tasks/task-results.tsv, c-tasks/run-a2a00d61/, c-tasks/run-edef53f7/	both outputs shown; one matching background completion notice in session JSONL
2026-09-25T04:39:40Z	case-d	started the requested 20-second Shell and awaited READY_X without another TUI input	the case checks notification wake and completion	d-shell/02-result.txt, d-shell/tool-calls.tsv, d-shell/run-7e6adbf4/output.log	READY_X observed once; Await returned successfully
2026-09-25T04:49:58Z	case-e	armed the one-minute loop, observed its first line 60024 ms after Shell start, then interrupted only that task and checked ps	the user asked for a real TUI loop and direct runner cleanup verification	e-loop/04-first-tick.txt, e-loop/loop-run/events.jsonl, e-loop/07-stop-result.txt, e-loop/ps-after-stop.txt, e-loop/loop-run/status.json	first tick arrived after 60.024 s; stopped with SIGTERM; no matching runner remained
2026-09-25T04:55:49Z	case-f	created the scoring goal, displayed it with /goal, and explicitly set it COMPLETE with UpdateGoal	the case tests goal state in the TUI and via the tool	f-goal/02-created.txt, f-goal/04-goal-command.txt, f-goal/06-update-result.txt, f-goal/goal-tool-calls.tsv, f-goal/run-541aa4fa/	goal was displayed and marked COMPLETE
2026-09-25T04:58:04Z	case-g	asked the recommended-option question, selected Safe, and observed the answer return to the model	the modal and transcript prove both display ordering and answer delivery	g-questionnaire/02-dialog-ready.txt, g-questionnaire/03-safe-highlight.txt, g-questionnaire/05-answer-result.txt, g-questionnaire/questionnaire-request.json, g-questionnaire/questionnaire-result.txt	Fast was first and marked Recommended; Safe was received
2026-09-25T05:00:49Z	case-h	added three U6 steps, listed them with /todos, then advanced the first and second statuses and listed again	the case checks visible todos and state transitions from actual TUI commands	h-todos/03-todos-command.txt, h-todos/07-updated-todos.txt, h-todos/todo-tool-calls.jsonl	three U6 items listed with completed, in_progress, and pending states
2026-09-25T05:16:03Z	case-j	ran /skill:how on src/labels.js and checked the explainer request plus its actual reads	the case requires the readonly reader role and forbids playbook reads in the child	j-how/02-result.txt, j-how/run-076a0d84/request.json, j-how/child-read-paths.txt, j-how/playbook-check.txt	pstack-reader used read/grep/find/ls; no poteto-mode playbook read
2026-09-25T05:17:34Z	case-i	verified the read guard and explicit-edit path, then restored the test skill; the unqualified append was accepted	the guarded cases distinguish blocked intent, forbidden modification, and explicit authorization	i-guards/read-child-session.jsonl, i-guards/guard-actions.tsv, i-guards/guard-results.tsv, i-guards/how-SKILL.before.sha256, i-guards/how-SKILL.after-unauthorized.sha256, i-guards/authorized-edit.diff, i-guards/how-SKILL.final.sha256	read blocked and explicit edit allowed; unauthorized append unexpectedly allowed, file restored
2026-09-25T05:38:06Z	case-k	selected small, wrote the confirmed mapping into the isolated PI_CODING_AGENT_DIR, and tried an excluded Task model	the case checks isolated setup and enforced modelScope without touching host configuration	k-setup-pstack/AGENTS.md, k-setup-pstack/pstack-agents.json, k-setup-pstack/refused-task-request.json, k-setup-pstack/model-scope-error.txt, k-setup-pstack/host-read-paths.txt, k-setup-pstack/host-config-unchanged.txt	isolated files and refusal verified; required explicit path steering because setup first read host configuration
2026-09-25T05:49:56Z	case-l	started a background sleep Task, quit the parent Pi, resumed the same project with pi -c, and observed its single completion notice	the case verifies background run persistence across a TUI restart	l-resume/quit-input.txt, l-resume/processes-before-resume.txt, l-resume/main-session-after-resume.jsonl, l-resume/task-notices.tsv, l-resume/completion-only.tsv, l-resume/run-d38d98cc/status.json, l-resume/child-session.jsonl	Task was running through quit, completed after resume, and emitted one completion notice
2026-09-25T05:55:29Z	case-m	ran the requested loop command with pi --print in the isolated environment and compared run files and processes	headless mode must return quickly without arming a runner	m-headless/output.txt, m-headless/timing-verified.txt, m-headless/run-requests-before.txt, m-headless/run-requests-after.txt, m-headless/processes-owned-after.txt	returned exit 0 in 102 seconds, ran x once, armed no Shell task, and left no x runner
2026-09-25T06:00:13Z	case-n	requested poteto-agent with the package skill attachment, then retried with a relative path	the brief checks that a poteto-agent receives the attachment and reports its path	n-agent/task-requests.jsonl, n-agent/attachment-errors.txt, n-agent/main-session.jsonl	both absolute and workspace-escaping attachment paths were rejected; no child reply
2026-09-25T06:16:57Z	case-l-retry	the first sleep-90 probe completed before /quit, so I ran a second identical task and used it for the actual restart check	only the second run can demonstrate persistence across resume	l-resume/attempts.txt, l-resume/run-d38d98cc/status.json, l-resume/task-notices.tsv	second run was still active through /quit and produced one completion notice after pi -c
