id	surface	status	kind	name	obligation	verification	upstream	reference	finding	class
loop-25	loop	VERIFIED	tool	pstack_run	Register a pstack_run tool with action arm, state, iterate, verify, discard, inconclusive, checkpoint, blocked, handoff, stop, or list.	test@tests/layers/01-unit/run-controller-contracts.test.ts@pstack_run registers the mandated action set	mechanism:/loop	extensions/loop/controller.ts:295	-	ADAPTED-EQUIVALENT
loop-26	loop	VERIFIED	behavior	-	Start a run in DEFINE_PREDICATE and advance it to WAIT_FOR_EVENT_OR_HEARTBEAT only when a predicate_defined event carries a checkable predicate.	test@tests/layers/01-unit/loop-fsm.test.ts@predicate_defined moves DEFINE_PREDICATE to WAIT_FOR_EVENT_OR_HEARTBEAT	mechanism:/loop	extensions/loop/fsm.ts:185	-	ADAPTED-EQUIVALENT
loop-27	loop	VERIFIED	behavior	-	Refuse to redefine the finish predicate once defined so the finish condition is never relaxed.	test@tests/layers/01-unit/loop-fsm.test.ts@predicate_defined refuses to relax an already defined predicate	mechanism:/loop	extensions/loop/fsm.ts:190	-	ADAPTED-EQUIVALENT
loop-28	loop	VERIFIED	behavior	-	Wake a waiting run on a heartbeat or an event wake, count each wake as a fire, and return a declarative wake effect.	test@tests/layers/01-unit/loop-fsm.test.ts@heartbeat moves WAIT_FOR_EVENT_OR_HEARTBEAT to RESUME_OR_START_ITERATION	mechanism:/loop	extensions/loop/fsm.ts:198	-	ADAPTED-EQUIVALENT
loop-29	loop	VERIFIED	behavior	-	Record a non-null event id on the run and treat a repeated event_wake with an already-seen id as a no-op.	test@tests/layers/01-unit/loop-fsm.test.ts@duplicate event_wake with the same event id is a no-op	mechanism:/loop	extensions/loop/fsm.ts:206	-	ADAPTED-EQUIVALENT
loop-30	loop	VERIFIED	behavior	-	Open exactly one iteration per iteration_started event and move the run to ACT.	test@tests/layers/01-unit/loop-fsm.test.ts@iteration_started moves RESUME_OR_START_ITERATION to ACT with an open iteration	mechanism:/loop	extensions/loop/fsm.ts:223	-	ADAPTED-EQUIVALENT
loop-31	loop	VERIFIED	behavior	-	Move the run to VERIFY on a verification_started event so every iteration is verified before its verdict.	test@tests/layers/01-unit/loop-fsm.test.ts@verification_started moves ACT to VERIFY	mechanism:/loop	extensions/loop/fsm.ts:243	-	ADAPTED-EQUIVALENT
loop-32	loop	VERIFIED	behavior	-	Close the open iteration as advanced with its evidence and reset the discard counter.	test@tests/layers/01-unit/loop-fsm.test.ts@iteration_verified closes the open iteration as advanced	mechanism:/loop	extensions/loop/fsm.ts:248	-	ADAPTED-EQUIVALENT
loop-33	loop	VERIFIED	behavior	-	Close the open iteration as discarded and increment consecutiveDiscards.	test@tests/layers/01-unit/loop-fsm.test.ts@iteration_discarded increments consecutiveDiscards	mechanism:/loop	extensions/loop/fsm.ts:256	-	ADAPTED-EQUIVALENT
loop-34	loop	VERIFIED	behavior	-	Write a checkpoint from COMMIT_IF_ADVANCED_OR_DISCARD and then evaluate the finish predicate before resolving the run.	test@tests/layers/01-unit/loop-fsm.test.ts@checkpoint moves COMMIT_IF_ADVANCED_OR_DISCARD to CHECKPOINT	mechanism:/loop	extensions/loop/fsm.ts:268	-	ADAPTED-EQUIVALENT
