id	surface	status	kind	name	obligation	verification	upstream	reference	finding	class
loop-01	loop	VERIFIED	tool	pstack_loop	Register a pstack_loop tool with action arm, stop, status, or list and optional mode, prompt, intervalSeconds, maxFires, watchArgv, and id.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-01	mechanism:/loop	extensions/heartbeat/index.ts:376	-	ADAPTED-EQUIVALENT
loop-02	loop	VERIFIED	behavior	-	Default mode to interval, intervalSeconds to 1800, and maxFires to 50 when arming via the tool.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-02	mechanism:/loop	extensions/heartbeat/index.ts:205-215	-	ADAPTED-EQUIVALENT
loop-03	loop	VERIFIED	behavior	-	Throw "prompt required to arm" when action=arm is called without a prompt.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-03	mechanism:/loop	extensions/heartbeat/index.ts:357	-	ADAPTED-EQUIVALENT
loop-04	loop	VERIFIED	behavior	-	Throw "action must be arm|stop|status|list" for an unknown action.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-04	mechanism:/loop	extensions/heartbeat/index.ts:356	-	ADAPTED-EQUIVALENT
loop-05	loop	VERIFIED	behavior	-	Throw "mode must be interval|settle|watcher|dynamic" for an invalid mode.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-05	mechanism:/loop	extensions/heartbeat/index.ts:207	-	ADAPTED-EQUIVALENT
loop-06	loop	VERIFIED	behavior	-	Reject the watchCommand parameter and require watchArgv as an argv array instead of a bash -lc string.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-06	mechanism:/loop	extensions/heartbeat/index.ts:198-199	-	ADAPTED-EQUIVALENT
loop-07	loop	VERIFIED	behavior	-	Constrain intervalSeconds to 5 through 86400 and maxFires to 1 through 500 in the tool schema.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-07	mechanism:/loop	extensions/heartbeat/index.ts:315-321	-	ADAPTED-EQUIVALENT
loop-08	loop	VERIFIED	behavior	-	Arm the interval timer at arm time and re-arm it after each interval fire.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-08	mechanism:/loop	extensions/heartbeat/index.ts:110-113	-	ADAPTED-EQUIVALENT
loop-09	loop	VERIFIED	behavior	-	Arm the settle timer only on agent_settled for settle and dynamic modes.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-09	mechanism:/loop	extensions/heartbeat/index.ts:253-266	-	ADAPTED-EQUIVALENT
loop-10	loop	VERIFIED	behavior	-	Fire a watcher-mode loop exactly once when watchArgv exits and never re-arm it.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-10	mechanism:/loop	extensions/heartbeat/index.ts:123-141	-	ADAPTED-EQUIVALENT
loop-11	loop	VERIFIED	behavior	-	Re-arm the watcher after each fire in dynamic mode while still armed and below maxFires.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-11	mechanism:/loop	extensions/heartbeat/index.ts:139	-	ADAPTED-EQUIVALENT
loop-12	loop	VERIFIED	behavior	-	Coalesce a dynamic fire when the previous fire is within the 2500 ms window.	test@tests/layers/01-unit/heartbeat-coalesce.test.ts@coalesce within window	mechanism:/loop	extensions/heartbeat/coalesce.ts:4	-	ADAPTED-EQUIVALENT
loop-13	loop	VERIFIED	behavior	-	Skip arming the settle timer on agent_settled when the previous fire is within the coalesce window.	test@tests/layers/01-unit/heartbeat-coalesce.test.ts@shouldSkipSettleArm returns true within window	mechanism:/loop	extensions/heartbeat/coalesce.ts:43-50	-	ADAPTED-EQUIVALENT
loop-14	loop	VERIFIED	behavior	-	Stop the loop when the next fire would exceed maxFires.	test@tests/layers/01-unit/heartbeat-coalesce.test.ts@stop when maxFires exceeded	mechanism:/loop	extensions/heartbeat/coalesce.ts:33-35	-	ADAPTED-EQUIVALENT
loop-15	loop	VERIFIED	behavior	-	Never fire a disarmed loop.	test@tests/layers/01-unit/heartbeat-coalesce.test.ts@coalesce when not armed	mechanism:/loop	extensions/heartbeat/coalesce.ts:25	-	ADAPTED-EQUIVALENT
loop-16	loop	VERIFIED	behavior	-	Deliver each fire as a follow-up message prefixed [pstack_loop <id> fire <n>/<max> reason=<reason>] followed by the prompt.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-16	mechanism:/loop	extensions/heartbeat/index.ts:104-106	-	ADAPTED-EQUIVALENT
loop-17	loop	VERIFIED	behavior	-	Reset the prompt to the base prompt after each fire so watcher output is injected only once.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-17	mechanism:/loop	extensions/heartbeat/index.ts:108	-	ADAPTED-EQUIVALENT
loop-18	loop	VERIFIED	behavior	-	Run watchArgv as command plus args via pi.exec with a 24-hour timeout and skip arming when watchArgv[0] starts with a dash.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-18	mechanism:/loop	extensions/heartbeat/index.ts:125-130	-	ADAPTED-EQUIVALENT
loop-19	loop	VERIFIED	behavior	-	Fire reason watcher on a zero watchArgv exit code, watcher-error on a nonzero exit code, and abort the running watcher when the loop stops.	test@tests/layers/01-unit/heartbeat-watcher.test.ts@exits nonzero wakes with reason=watcher-error	mechanism:/loop	extensions/heartbeat/index.ts:114	#9	ADAPTED-EQUIVALENT
loop-20	loop	VERIFIED	behavior	-	Require watchArgv for mode=watcher and reject a watchArgv[0] that is empty or starts with a dash.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-20	mechanism:/loop	extensions/heartbeat/index.ts:226-236	-	ADAPTED-EQUIVALENT
loop-21	loop	VERIFIED	behavior	-	Clear every loop and SIGTERM each running watcher on session_shutdown.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-21	mechanism:/loop	extensions/heartbeat/index.ts:248-251	#17	ADAPTED-EQUIVALENT
loop-22	loop	VERIFIED	behavior	-	Return one formatted row per loop for status and list, and stop the named loop or all loops for action=stop.	test@tests/layers/01-unit/loop-contracts.test.ts@loop-22	mechanism:/loop	extensions/heartbeat/index.ts:148-160	-	ADAPTED-EQUIVALENT
