slug	capability	owns	upstream_basis
content	0	ported tree: bindings, overrides, extras, leftover tokens, port/contract/alias gates	none in tree
commands	0	/skill:<name> invocation, generated /name shims, reserved names, arg forwarding	none in tree
decision	0	pstack_decision_log, TSV format, path allowlist	skills/show-me-your-work/scripts/log.sh
sticky	1	/poteto-mode, /poteto-mode-off, /pstack, playbook matching, injection, restore, provenance, child gate	skills/poteto-mode/SKILL.md
spawn	2	pstack_spawn: roles, model resolution, argv, session dirs, defaults, concurrency, resume	skills/poteto-mode/SKILL.md
jobs	2	pstack_jobs: list/status/await/abort, states, session scope	none in tree
swarm	2	pstack_swarm: isolation, N cap, aggregation	skills/swarm/SKILL.md
arena	2	pstack_arena: candidates, cross-judge, worktree isolation	skills/arena/SKILL.md
models	7	/setup-pstack, config file and precedence, role resolution, always-applied injection	skills/setup-pstack/SKILL.md
loop	3	pstack_loop, /pstack-loop: modes, coalescing, watcher, maxFires, stop/status/list	none in tree
worktree	4	pstack_worktree: create/list/remove/prune, sanitization, cap, shutdown cleanup	skills/poteto-mode/scripts/worktree-audit.sh
ship	5	pstack_ship: view/merge/gate-check/stack-status, fail-closed merge	skills/poteto-mode/playbooks/shipping.md
babysit	5	pstack_babysit, recipes, watchArgv, loopArm payload	skills/poteto-mode/playbooks/babysit.md
gates	5	/pstack-gates and its criteria	skills/poteto-mode/playbooks/shipping.md
deslop	6	pstack_deslop, /deslop, applySafe/dryRun, unslop pairing	skills/poteto-mode/playbooks/opening-a-pr.md
control	6	pstack_control_cli, pstack_control_ui	none in tree
readonly	11	/pstack-readonly(-off), tool policy, auto-arm, status	agents/comment-sicko.md
sessions	8	pstack_sessions: list/grep/current/recall, ranking	skills/recall/SKILL.md
benny	10	pstack_benny_wake, /setup-benny, /benny-triage, /benny-repro	automations/benny/FOR_AGENTS.md
ceiling	9, 12	EXCLUDED rows only, each naming its twin surface	none in tree
host	0	ExtensionAPI conformance: tool definitions, enums, output caps, path normalization, file mutation queue, trust gating, shutdown lifecycle	@earendil-works/pi-coding-agent docs/extensions.md
