id	surface	status	kind	name	obligation	verification	upstream	reference	finding
sticky-01	sticky	VERIFIED	command	/poteto-mode	The /poteto-mode command must enable sticky mode and match the playbook for the given task.	test@tests/layers/01-unit/sticky-contracts.test.ts@sticky-01	skills/poteto-mode/SKILL.md	extensions/poteto-state/index.ts:201	-
sticky-02	sticky	VERIFIED	command	/poteto-mode-off	The /poteto-mode-off command must disable sticky mode and notify the user.	test@tests/layers/01-unit/runtime-wiring.test.ts@poteto-mode-off clears state and status	skills/poteto-mode/SKILL.md	extensions/poteto-state/index.ts:224	-
sticky-03	sticky	VERIFIED	behavior	-	The playbook matcher must score rules by priority and cue presence, requiring a minimum score of 2.	test@tests/layers/01-unit/runtime-wiring.test.ts@matches by cue	skills/poteto-mode/SKILL.md	extensions/sticky-playbook.ts:126	-
sticky-04	sticky	VERIFIED	behavior	-	The sticky input hook must only evaluate input events originating from interactive, rpc, or unknown provenance.	test@tests/layers/01-unit/sticky-session.test.ts@accepts interactive, rpc, and unknown provenance	skills/poteto-mode/SKILL.md	extensions/sticky-session.ts:111	-
sticky-05	sticky	VERIFIED	behavior	-	The sticky input hook must transform qualifying user text into a /skill:poteto-mode invocation to force sticky routing.	test@tests/layers/01-unit/sticky-session.test.ts@prefixes the playbook path and keeps an existing invocation	skills/poteto-mode/SKILL.md	extensions/sticky-session.ts:72	-
sticky-06	sticky	VERIFIED	behavior	-	The before_agent_start handler must append the skill body capped at 48000 bytes and the playbook body capped at 24000 bytes.	test@tests/layers/01-unit/sticky-contracts.test.ts@sticky-06	skills/poteto-mode/SKILL.md	extensions/sticky-poteto.ts:47	-
sticky-07	sticky	VERIFIED	behavior	-	The poteto runtime must restore sticky state from the latest pstack-poteto-mode custom entry upon session_start.	test@tests/layers/01-unit/runtime-wiring.test.ts@restores a persisted playbook on session_start	skills/poteto-mode/SKILL.md	extensions/poteto-state/index.ts:132	-
sticky-08	sticky	VERIFIED	behavior	-	The sticky input hook must bypass playbook matching and force-invocation entirely when PSTACK_CHILD_ROLE is set.	test@tests/layers/01-unit/sticky-contracts.test.ts@sticky-08	skills/poteto-mode/SKILL.md	extensions/poteto-state/index.ts:168	-
sticky-09	sticky	VERIFIED	behavior	-	The sticky input hook must automatically arm readonly mode for an investigation playbook match if the text is short and score is high.	test@tests/layers/01-unit/sticky-session.test.ts@arms only the investigation playbook	skills/poteto-mode/SKILL.md	extensions/sticky-session.ts:93	-
sticky-10	sticky	VERIFIED	behavior	-	The sticky input hook must not reassign the matched playbook on a casual turn, and the sticky prompt must inject the assigned playbook instead of re-matching the turn text.	test@tests/layers/01-unit/runtime-wiring.test.ts@casual turn keeps the ongoing playbook	skills/poteto-mode/SKILL.md	extensions/poteto-state/index.ts:161	#7
sticky-11	sticky	VERIFIED	behavior	-	The playbook matcher must require context beyond the bare word bugbot to route to the Babysit playbook.	test@tests/layers/01-unit/runtime-wiring.test.ts@matches by cue and by explicit playbook path	skills/poteto-mode/SKILL.md	extensions/sticky-playbook.ts:40	#8
sticky-12	sticky	VERIFIED	behavior	-	The before_agent_start handler must inject the sticky prompt on every turn while poteto mode is armed.	test@tests/layers/01-unit/runtime-wiring.test.ts@poteto prompt handler adds the sticky body when armed	skills/poteto-mode/SKILL.md	extensions/sticky-poteto.ts:82	-
readonly-01	readonly	VERIFIED	command	/pstack-readonly	The /pstack-readonly command must arm readonly mode with a command reason.	test@tests/layers/01-unit/runtime-wiring.test.ts@strips write tools and restores them	mechanism:ask-mode	extensions/readonly-state/index.ts:199	-
readonly-02	readonly	VERIFIED	command	/pstack-readonly-off	The /pstack-readonly-off command must disable readonly mode and restore original tools.	test@tests/layers/01-unit/runtime-wiring.test.ts@strips write tools and restores them	mechanism:ask-mode	extensions/readonly-state/index.ts:206	-
readonly-03	readonly	VERIFIED	behavior	-	Arming readonly mode must strip write, edit, bash, and powershell tools from the active set while preserving others.	test@tests/layers/01-unit/readonly-state.test.ts@strips write-blocked tools	mechanism:ask-mode	extensions/readonly-state/index.ts:24	-
readonly-04	readonly	VERIFIED	behavior	-	Disabling readonly mode must restore the exact tool set that was active before arming.	test@tests/layers/01-unit/readonly-state.test.ts@restores the remembered tools	mechanism:ask-mode	extensions/readonly-state/effects.ts:23	-
readonly-05	readonly	VERIFIED	behavior	-	The readonly tool_call policy must block the pstack_loop arm path (subprocess watcher) while allowing status, list, and stop.	test@tests/layers/01-unit/readonly-state.test.ts@readonly policy blocks exec, writers, fan-out, and frame mutations	mechanism:ask-mode	extensions/readonly-state/index.ts:219	#4
readonly-06	readonly	VERIFIED	behavior	-	The readonly tool_call policy must block pstack_decision_log and pstack_benny_wake writes while allowing pstack_benny_wake path.	test@tests/layers/01-unit/readonly-state.test.ts@readonly policy blocks exec, writers, fan-out, and frame mutations	mechanism:ask-mode	extensions/readonly-state/index.ts:219	#5
readonly-07	readonly	VERIFIED	behavior	-	The readonly tool_call policy must block mutating worktree, ship, babysit, and deslop tool calls while coercing pstack_spawn to readonly.	test@tests/layers/01-unit/runtime-wiring.test.ts@blocks writes and coerces	mechanism:ask-mode	extensions/readonly-state/index.ts:219	-
readonly-08	readonly	VERIFIED	behavior	-	Arming readonly mode must display a pstack-ro status indicator in the UI.	test@tests/layers/01-unit/runtime-wiring.test.ts@strips write tools and restores them	mechanism:ask-mode	extensions/readonly-state/index.ts:40	-
readonly-09	readonly	VERIFIED	behavior	-	The readonly state must be persisted across session_start events using the pstack-session-readonly custom entry.	test@tests/layers/01-unit/sticky-session.test.ts@parseReadonlyEntry round-trips an armed entry	mechanism:ask-mode	extensions/readonly-state/index.ts:114	-
readonly-10	readonly	VERIFIED	behavior	-	An explicit investigation skill invocation or a high-scoring playbook match must auto-arm readonly mode.	test@tests/layers/01-unit/sticky-session.test.ts@arms only the investigation playbook	mechanism:ask-mode	extensions/sticky-session.ts:93	-
readonly-11	readonly	VERIFIED	behavior	-	The readonly policy must block pstack_swarm and pstack_arena so a readonly session cannot fan out write-capable children.	test@tests/layers/01-unit/readonly-state.test.ts@readonly policy blocks exec, writers, fan-out, and frame mutations	mechanism:ask-mode	extensions/readonly-state/index.ts:219	-
readonly-12	readonly	VERIFIED	behavior	-	The readonly policy must block the pstack_control_cli exec channel so a readonly session runs no subprocesses.	test@tests/layers/01-unit/readonly-state.test.ts@readonly policy blocks exec, writers, fan-out, and frame mutations	mechanism:ask-mode	extensions/readonly-state/index.ts:219	-
readonly-13	readonly	VERIFIED	behavior	-	The readonly keep-set must preserve the READONLY_TOOLS read allowlist when the tool registry reports a narrower set.	test@tests/layers/01-unit/readonly-state.test.ts@preserves the read allowlist when the registry narrows	mechanism:ask-mode	extensions/readonly-state/index.ts:41	-
readonly-14	readonly	VERIFIED	behavior	-	A strong non-investigation playbook match must release a readonly session that the sticky matcher armed.	test@tests/layers/01-unit/runtime-wiring.test.ts@strong non-investigation task releases	mechanism:ask-mode	extensions/readonly-state/index.ts:259	-
