id	surface	status	kind	name	obligation	verification	upstream	reference	finding	class
content-17	content	VERIFIED	behavior	-	Keep the how skill in two branches: one readonly explainer for a simple question, and 2 to 4 parallel readonly explorers feeding one explainer over the findings for a complex question, naming the configured how-explorer and how-explainer roles.	test@tests/layers/01-unit/skill-workflow-contracts.test.ts@how skill keeps the simple and complex branches	mechanism:playbook-routing	skills/how/SKILL.md:15	-	ADAPTED-EQUIVALENT
content-18	content	VERIFIED	behavior	-	Keep all seven why evidence category headings and the instruction to document a null result rather than skip the search.	test@tests/layers/01-unit/skill-workflow-contracts.test.ts@why skill keeps all seven evidence categories	mechanism:playbook-routing	skills/why/SKILL.md:76	-	ADAPTED-EQUIVALENT
content-19	content	VERIFIED	behavior	-	Keep the arena Frame, Fan out, Cross-judge, Pick, Graft, and Verify phases, the task-derived rubric, and the independent readonly cross-judge with a different-family preference.	test@tests/layers/01-unit/skill-workflow-contracts.test.ts@arena skill keeps the six phases	mechanism:playbook-routing	skills/arena/SKILL.md:27	-	ADAPTED-EQUIVALENT
content-20	content	VERIFIED	behavior	-	Keep the swarm slice, race, and mixed modes, the declared race selection rule, and the PASS, ISSUES, or BLOCKED report contract.	test@tests/layers/01-unit/skill-workflow-contracts.test.ts@swarm skill keeps the slice, race, and mixed modes	mechanism:playbook-routing	skills/swarm/SKILL.md:23	-	ADAPTED-EQUIVALENT
content-21	content	VERIFIED	behavior	-	Keep one interrogate reviewer per configured panel entry, the consensus, lone-model, and disagreement synthesis steps, and the Act on, Consider, Noted, and Dismissed lead labels.	test@tests/layers/01-unit/skill-workflow-contracts.test.ts@interrogate skill keeps one reviewer per panel entry	mechanism:playbook-routing	skills/interrogate/SKILL.md:36	-	ADAPTED-EQUIVALENT
content-22	content	VERIFIED	behavior	-	Keep the reflect user approval gate before applying Accepted edits and the structural-enforcement check that routes lint-enforceable items to Backlog.	test@tests/layers/01-unit/skill-workflow-contracts.test.ts@reflect skill keeps the approval gate	mechanism:playbook-routing	skills/reflect/SKILL.md:52	-	ADAPTED-EQUIVALENT
content-23	content	VERIFIED	behavior	-	Keep the recall Capsule, Threads, Problems, and Next move output contract and the default seven-day recent window.	test@tests/layers/01-unit/skill-workflow-contracts.test.ts@recall skill keeps the capsule output contract	mechanism:playbook-routing	skills/recall/SKILL.md:18	-	ADAPTED-EQUIVALENT
content-24	content	VERIFIED	behavior	-	Keep the automate-me .pi/skills/ and ~/.pi/agent/skills/ placement paths and the two-step corroboration of cross-slice mining then structured user questions before authoring.	test@tests/layers/01-unit/skill-workflow-contracts.test.ts@automate-me skill keeps the placement paths	mechanism:playbook-routing	skills/automate-me/SKILL.md:17	-	ADAPTED-EQUIVALENT
content-25	content	VERIFIED	behavior	-	Keep the poteto-mode playbook table at all 23 playbook ids and the todos contract that copies playbook steps verbatim first and marks a skipped step with skip: <reason>.	test@tests/layers/01-unit/skill-workflow-contracts.test.ts@poteto-mode skill keeps the 23-playbook table	mechanism:playbook-routing	skills/poteto-mode/SKILL.md:117	-	ADAPTED-EQUIVALENT
content-26	content	VERIFIED	behavior	-	Register a /name skill command shim for each of how, why, arena, swarm, interrogate, reflect, recall, and automate-me.	test@tests/layers/01-unit/skill-workflow-contracts.test.ts@slash command shims register every workflow skill name	mechanism:slash-commands	extensions/commands/skill-commands.ts:111	-	ADAPTED-EQUIVALENT
