id	finding	root cause	fix	evidence
U0	test harness false busy	stale "Thinking..." lines in pane history	ux wait scans only the live bottom of the pane for spinners	L9b cleanup waits returned idle correctly after the fix
U1	owners killed, runs take hours (#11)	pi-subagents kills async workflow children at 30 min unless the agent sets timeoutMs	timeoutMs frontmatter on all pstack agents (6h writers, 2h reader, 24h shell) and config timeoutMs 6h	src/runs/background/async-execution.js:947; agents list loads with no errors
U2	poteto-mode not applied to plain requests (#1)	reminder said "apply /skill:poteto-mode", a slash command the model cannot run; no sticky mode	reminder names SKILL.md path and plain-language triggers; pstack-mode.ts re-sends the reminder each turn, shows the footer badge, and supports /poteto on/off	"check on PR 9" read poteto-mode then babysit.md; tmux run showed badge and pstack-mode-reminder entries
U3	model config ignored (#2)	playbooks state default models inline and nothing enforces the config	role map in pi-runtime.md; subagents.modelScope enforce allow [inherit]; setup-pstack writes modelScope; modelScope errors mean omit model	explicit model rejected in single and workflow children; inherited and pstack-shell runs succeed
U4	headless loop arms timers; headless question unlettered (#5, #10)	no runtime guard; questionnaire returned a bare error	pstack-guards.ts blocks schedule.create and goal mission.create outside the TUI; questionnaire renders a lettered block and supports recommended	pi --print "/skill:loop 1m echo hi" ran once, armed nothing; headless question printed a) Title (Recommended) b) c)
U5	wakes lost after restart (#3)	pi-subagents primes recovered results without triggering a turn; goal notices need a turn to end	pstack-resume.ts finds undelivered runs and open goals on restart and starts one turn; agent subscribes with bg_wait nonBlocking	restart test: nudge at 07:42:33, one subscription fire at completion 07:46:13, result reported
U5b	subscription spin on silent watchers (#18)	60s no-activity attention wakes nonBlocking subscriptions	pstack-shell launches pass control enabled false; global control thresholds 10 and 20 min	rerun: 1 subscription fire, 0 control notices
U6	closed goals read as active (#4)	notices already skip terminal missions (goal-driver.js); only hand-read JSON misled	goal skill lists goals via mission.list, missionScope global, and states what open means	mission.list missionScope global printed statuses
U7	eval misrouted (#6)	Investigation entry "are we sure about Z" matched first	index says behavioral skill changes are Eval, with trigger phrases	same prompt read eval.md and seeded its steps
U8	Comment Sicko handoff (#7)	Sicko contract ambiguous; parent counted deletions against HEAD	Sicko deletes itself; parent snapshots scope first and counts with git diff --no-index	uncommitted-comment probe: Sicko deleted 2, parent reported 2
U9	vitest-testing on a bun repo (#8)	no applicability gate	step 0 stops when Vitest is absent	bun repo: no docs fetched, git status clean
U10	autopilot-full no merge (#9)	owner finished before verdict; nobody delivered it	root resumes or respawns the owner with the verdict; no goal close while a clean-verdict item is unmerged	playbook text; re-test lane
U11	babysit and arena slowness (#11)	watch-pr flags learned by reading source; arena ignored a user count	exact watch-pr command in babysit; user count and directions win in arena	watch-pr --pr 9 --status-only --pretty printed the table
U12	minors (#12)	see items	todo tally excludes cancelled; Tab commits multi-select picks; setup-pstack continues after the questionnaire; swarm removes worktrees; arena slug suffix	tmux: Todos 1/2 · 1 cancelled; Q1 answered on Tab; loop armed in TUI and deleted
