mechanism	upstream_evidence	disposition	ref	twin_surface
marketplace	.cursor-plugin manifest and /add-plugin; schema only at repo-root schemas/marketplace.schema.json; zero marketplace hits inside pstack	excluded	rows:ceiling	content
cloud-agents	environment:"cloud", cloud_base_branch, cloud VM, dashboard agent status; named only, no in-tree spec	excluded	rows:ceiling	worktree
automations-slack	Automations editor and Slack bus; FOR_AGENTS.md:67-89 settings merge; placeholder Slack action names at configuration.example.yaml:11-14	excluded	rows:ceiling	benny
grok-bot	update_state, SendToUser secret cards, api2.cursor.sh webhook; make-bot-ui SKILL.md:15-113	excluded	rows:ceiling	benny
mcp	mcps/ directory and mcp_auth; why SKILL.md:62,83; no tool/URI/schema spec	excluded	rows:ceiling	spawn
sticky-host	reminder, mode, icon, color frontmatter; poteto-mode SKILL.md:5-8; Pi ignores unknown frontmatter	excluded	rows:ceiling	sticky
/loop	named in 15 places; guide 07:24 calls it Cursor's built-in wake mechanism; no cadence or stop spec	contract	rows:loop	-
durable-jobs	run_in_background and is_background flags; no spec; Pi registry is an in-process Map whose jobs are aborted on session_shutdown and dropped with the process	excluded	rows:ceiling	jobs
ide-driving	full Electron and IDE driving via control-ui; cursor-team-kit skill, not in pstack	excluded	rows:ceiling	control
mdc-rules	~/.cursor/rules/*.mdc alwaysApply; setup-pstack:39-44 example only; no rule-engine spec	contract	rows:models	-
transcript-store	~/.cursor/projects/<slug>/agent-transcripts/<uuid>/<uuid>.jsonl; recall:15 and reflect:19-22	contract	rows:sessions	-
history-inheritance	parent conversation history and MCP inheritance to children; no API; children get argv and env only	contract	rows:spawn	-
task	Task tool and subagent_type; params run_in_background, readonly, model, environment, cloud_base_branch, is_background; no schema; poteto-mode:89-95 fixes defaults	contract	rows:spawn	-
/deslop	cursor-team-kit skill; README:233; poteto-mode:28; opening-a-pr:9,33	contract	rows:deslop	-
control-cli	cursor-team-kit skill; README:234; poteto-mode:30; orchestrate:17; shipping:7	contract	rows:control	-
control-ui	cursor-team-kit skill; Pi twin is the pstack_control_ui HTTP probe	contract	rows:control	-
ask-mode	why SKILL.md:83 and reflect SKILL.md:31 say readonly or Ask mode strips MCP access; the mode itself is host chrome with no in-tree spec	contract	rows:readonly	-
slash-commands	README.md skill table names the slash surface and every SKILL.md frontmatter carries a name; the invocation mechanism is host-provided	contract	rows:commands	-
content-parity	the pinned upstream tree under skills/, agents/, automations/, and docs/; port/README.md documents the binding mechanism	contract	rows:content	-
plan-mode	README:241 only, no semantics; upstream says /poteto-mode covers planning	contract	rows:sticky	-
bugbot	external reviewer service; bugbot-triage.md policy ported; watch-pr identifies it by author substring	contract	rows:babysit	-
tailscale	make-bot-ui runbook only; preserved by the make-bot-ui override must-pins	contract	rows:content	-
origin-gt	Origin CLI and Graphite gt; shipping.md:7 says never require Graphite; preserved verbatim	contract	rows:content	-
askquestion	AskQuestion dialog; setup-pstack:22,31 and automate-me:44; semantics undefined in-tree	binding	binding:askquestion	-
create-skill	Cursor built-in create-skill; no in-tree counterpart; Pi authors SKILL.md	binding	binding:create-skill-authoring	-
cursor-babysit	Cursor built-in /babysit collision; README:235 and playbooks/babysit.md:3	binding	binding:cursor-builtin-babysit-poteto	-
cursor-team-kit	cursor-team-kit plugin ships /deslop and control-cli/control-ui; sibling directory, not in pstack	binding	binding:deslop-team-kit	-
automate	Cursor built-in /automate and Automations editor; benny FOR_AGENTS.md references	binding	binding:benny-first-time-creation	-
playbook-routing	skills/poteto-mode/SKILL.md playbook table plus the routing cues in playbooks/*.md; the host provides no router, so each implementation matches task text to a playbook	contract	rows:sticky	-
model-picker	skills/setup-pstack/SKILL.md:22-38 four budget labels and the effort-token rewrite over the ladder max>xhigh>high>medium>low; Cursor carries effort in the model name	contract	rows:models	-
worktree-isolation	how, arena, swarm, autopilot, and orchestrate playbooks instruct one isolated worktree per worker; no host API exists, so each implementation allocates and cleans up its own	contract	rows:worktree	-
extension-api	@earendil-works/pi-coding-agent docs/extensions.md (installed 0.85.1) plus the checklist in .pi/audit/extensions-checklist.md; no upstream pstack file	contract	rows:host	-
