ts	phase	decision	why	evidence	result
2026-09-23T15:41:40Z	A	Predicate: (1) every cursor/plugins pstack 0.15.2->0.15.3 change (b42effe) is ported, checked by a sentence-delta lint at 0 missing; (2) parity lint vs the 0.15.3 snapshot at 0 problems; (3) findings 1-7 each fixed structurally or by a logged Pi clarification, each proven by a real-Pi repro that failed before; (4) round-3 user-perspective test of every skill, agent, playbook and X/Y/Z with regressions for rounds 1-2	User asked for fixes 1-7 plus a comprehensive test at near-100% parity with the current official plugin	gh api repos/cursor/plugins: plugin.json 0.15.3, commits #414 #416 on 2026-09-23; local Cursor cache and Grok copy are 0.15.2	open
2026-09-23T15:41:40Z	A	Scope: 34 upstream files (+81/-101), about 30 Pi files; fixes touch 8 skills, 3 extensions, pi-runtime, AGENTS block; round-3 test about 10 lanes over 4-5 h	Quantify before committing	/tmp/upstream-0153.diff 634 lines	open
2026-09-23T15:41:41Z	A	Rigor high: lint gates plus before/after interpretation probes plus real-Pi repros plus the round-3 test	User demands perfect parity; autopilot merge behavior is a one-way action in a real repo	round-2 SUMMARY.md	open
2026-09-23T15:41:41Z	A	Attack the premise: parity baseline was stale (0.15.2 cache), so port 0.15.3 before the fixes; several fixes land on text 0.15.3 rewrote (autopilot-full steps 2/4/5/6, feature step 2)	Fixing on a stale base would need redoing	upstream-0153.diff autopilot-full, feature hunks	decided
2026-09-23T15:41:41Z	A	Rejected claim: Hillclimb's 'arena references/design-red-flags.md missing' was false; the file is architect/references/design-red-flags.md	F6 needs verify-the-breakage-first, not only a location boundary	ls ~/.pi/agent/skills/architect/references	decided
2026-09-23T15:41:55Z	B	Workflow: U0 lever (vendored snapshots + sync-check) -> U1 port 0.15.3 -> U2 model defaults -> probes baseline -> F3 guard (code, riskiest) -> F1 F2 F4 F6 wording -> F5 ceremony -> F7 minors -> probes after -> parity lint -> round-3 test -> hand back	Scaffold and verification first; riskiest code before wording; fixes on the 0.15.3 base	todo #16-#19, #5-#13	decided
2026-09-23T15:41:55Z	B	Single writer: I edit ~/.pi/agent myself, no fan-out for the edits; fan-out only for the round-3 tester lanes, each in its own scratch clone	One writer per cwd; the edits share files (poteto-mode SKILL, pi-runtime, extensions)	separate-before-serializing-shared-state	decided
2026-09-23T15:41:55Z	B	No architect arena	Mechanical port plus targeted wording; shape is concrete, a design arena would be over-engineering	figure-it-out Phase B	decided
2026-09-23T15:42:49Z	C	U0 baseline: sync-check 66 missing, 61 stale	Old value for the port gate	node pstack/parity/sync-check.mjs	baseline
2026-09-23T15:45:43Z	C	U0 done: vendored upstream 0.15.2 and 0.15.3 (b42effe) under pstack/parity/upstream; sync-check.mjs; check-parity now reads the vendored snapshot plus a model-default check	The Cursor cache lags the official plugin; the lint must compare against the current release	check-parity mutation test: 3 planted violations caught (step count, model id, stale slug, sync delta)	VERIFIED
2026-09-23T15:45:43Z	C	U1 done: 0.15.3 ported by git merge-file (7 files identical, 24 three-way merged, 41 conflict hunks hand-ported); make-bot-ui and poteto-mode keep dir-matching names	Three-way merge carries upstream deltas while keeping Pi mappings	sync-check 66 missing 61 stale -> 0 missing 0 stale; one accepted mapping (shipping cloud agent)	VERIFIED
2026-09-23T15:45:43Z	C	Model defaults: claude-opus-5-5-max -> anthropic/claude-opus-5-5:max; gpt-5.6-sol-max -> openai-codex/gpt-5.6-sol:max (exact model now available, replaces deepseek stand-in); grok-4.7-xhigh-fast -> anthropic/claude-sonnet-5:xhigh (no xAI provider); panels 3 entries	Match upstream 0.15.3 defaults with the closest ids pi --list-models offers	pi --list-models; check-parity MODEL_MAP	VERIFIED
2026-09-23T15:45:57Z	C	User pstack block panels 4 -> 3 inherit-parent entries (arena, architect, interrogate)	Panel length sets fan-out; the 4 came from the pre-0.15.3 default panel, upstream is now 3; also trims ceremony. Reversible: add one entry back per line	~/.pi/agent/AGENTS.md lines 25-29	done
2026-09-23T15:50:19Z	C	F3 done: pstack-guards strips timeoutMs/maxRuntimeMs from non-shell launches (incl. workflowScript items), fills pstack-shell async/mission/control, blocks backgrounded bash polling loops and watchers	Cursor Task has no deadline; round-2 kills (L6 j 1800000, L4 g 900000) were self-set; round-2 L2 e used nohup instead of the requested pstack-shell	A/B pi --print: guard off 'Subagent timed out after 1000ms', guard on PONG; bash nohup loop blocked, no process; pstack-shell with only agent+task ran with no Mission line; bun unit tests 4 pass	VERIFIED
2026-09-23T15:52:24Z	C	F1: autopilot-full step 1 defines operator-named as items the operator reserves; every item in the starting request is the queue and merges on a clean verdict	Upstream wording (unchanged in 0.15.3) read literally makes autopilot-full never merge, contradicting its purpose and step 5; 0.15.3 poteto-mode adds 'Gates that the operator named' in the same sense	probe P1 before: HOLD 3/3; round-2 L9-auto g2 PR #41 left open	done
2026-09-23T15:52:24Z	C	F2: babysit step 1 adds 'The small-PR rule refines only the undeclared default'; request phrases declare their mode at any PR size	Upstream has both 'get it green' -> drive and 'Small or docs-only PRs get check'; Pi read the second as overriding	probe P2 before: check 2/3; round-2 L9-auto c	done
2026-09-23T15:52:24Z	C	F4: reflect files Backlog only to an operator-named tracker (chat or a 'backlog tracker:' AGENTS.md line outside the pstack block); otherwise lists them as 'Backlog, not filed'	Cursor's 'tracker your team uses' has no Pi config; round-2 reflect guessed the public pi-pstack repo and filed #15 #16	reflect/SKILL.md step 5 and 6	done
2026-09-23T15:52:24Z	C	F5: named /skill:<name> is that task's playbook (AGENTS block, per-turn reminder, poteto-mode Playbooks); autopilot roots spawn owners first, design inside owners; arena assigns distinct directions whenever entries share a model; one arena per decision; panels 3	Round-2 tdd/deslop/technical-writing/arena got wrapped in Feature/figure-it-out; architect re-ran its arena 3x because same-model runners converged; autopilot roots ran architect before owners (40-80 min to first PR)	probe P5 before: PLAYBOOK:bug-fix 3/3; L5 a/b, L9-auto f/g2, L8 l2	done
2026-09-23T15:52:24Z	C	F5 not changed: Feature's mandatory how+architect on small features, and the L8-j SQLite scope pick	Upstream 0.15.3 removed the architect skip escape, so Cursor runs the same ceremony; arena Phase D already covers disagreeing with the judge. Changing either diverges from the official plugin	upstream feature.md step 2; arena Phase D	decided
2026-09-23T15:52:24Z	C	F6: poteto-mode 'Broken skill' line plus pi-runtime row: confirm by listing ~/.pi/agent/skills/<name>/ and named siblings, fix the installed copy, PR only to an operator-named repo, never search ~ or other repos	Round-2 Hillclimb searched the home dir and ~/src repos on a false claim; Pi has no plugin repo	probe P6 before: checked arena/references (wrong dir) and planned a source-repo PR 3/3	done
2026-09-23T15:54:41Z	C	F7 done: todo tool (panel tally wording, strip list numbers, skip already-open duplicates, clear refuses with open items, set text for skip reasons); badge re-shown on every prompt and after compaction; pi-runtime rows for no deadlines, 16 KB args and brief files, pushed-only commit links, checkpoint items in todos	Round-2 minors: 'cancelled completed', '1.' prefixes, duplicate seeding, todo clear dropping how/architect unrecorded, badge flicker, 16 KB args failure, local-commit GitHub link, checkpoint notes in replies	pi --print todo sequence: numbers stripped, duplicate refused, clear blocked then allowed; parity lint 0	VERIFIED
2026-09-23T15:54:41Z	C	F7 not changed: /tmp artifact paths, questionnaire allowOther:false, goal listing via mission.show, Comment Sicko async override	Upstream prescribes /tmp/arena-<slug> and /tmp/<slug>-resume.md; the other three are documented tool options or a working path, not port defects	arena Phase A step 4, pause-safely step 4, pi-runtime Comment Sicko row	decided
2026-09-23T15:56:22Z	C	Interpretation probes, 3 samples each on openai-codex/gpt-6-luna (user default), pre-fix text from backup vs current: P1 HOLD 3/3 -> MERGE 3/3; P2 check 2/3 -> drive 3/3; P4b FILE:pi-pstack 3/3 -> LIST 3/3; P5 PLAYBOOK:bug-fix 3/3 -> TDD 3/3; P6 wrong dir + source-repo PR 3/3 -> ls installed skill dir, fix installed copy 3/3	Each wording fix must move the real model on the round-2 scenario; every after-answer quotes the new sentence	/tmp/r3-probes/before, /tmp/r3-probes/after, probe.sh	VERIFIED
2026-09-23T15:57:10Z	C	Full sentence audit (new full-audit.mjs): 97.1% of upstream 0.15.3 sentences carried; every gap reviewed is a Cursor-only primitive with a Pi mapping (Task, subagent_type, cloud, /loop mechanics, agent-transcripts, MCP) or an accepted rewrite (make-bot-ui, setup-pstack)	Parity beyond the 0.15.3 delta	node pstack/parity/full-audit.mjs --gaps	VERIFIED
2026-09-23T15:57:10Z	C	worktree-cleanup scan: async pstack-reader -> pstack-shell	Cursor backgrounds a shell; a model child spent tokens running one script	worktree-cleanup.md step 1	done
